ano,campus,curso,entradas_vest,entradas_sisu,entradas_provare,evasao_vest,evasao_sisu,evasao_provare,evasao_total,perc_vest,perc_sisu,perc_provare,perc_total
2025,CCSC,Ciências Econômicas,29,12,4,1,0,0,1,3.45,0.0,0.0,2.22
2025,CCSC,Enfermagem,27,11,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CCSC,Engenharia Agrícola,18,5,13,2,0,3,5,11.11,0.0,23.08,13.89
2025,CCSC,Engenharia Civil,21,10,3,0,0,0,0,0.0,0.0,0.0,0.0
2025,CCSC,Farmácia,19,8,7,0,1,0,1,0.0,12.5,0.0,2.94
2025,CCSC,Fisioterapia,23,12,0,1,1,0,2,4.35,8.33,0.0,5.71
2025,CCSC,Geografia,14,2,21,0,0,4,4,0.0,0.0,19.05,10.81
2025,CCSC,Superior de Tecnologia em Gestão Pública,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CCSC,História,28,6,1,3,0,0,3,10.71,0.0,0.0,8.57
2025,CCSC,Letras - Língua Portuguesa e Língua Espanhola e Respectivas Literaturas,7,4,3,0,0,0,0,0.0,0.0,0.0,0.0
2025,CCSC,Letras - Língua Portuguesa e Língua Inglesa e Respectivas Literaturas,13,6,0,1,0,0,1,7.69,0.0,0.0,5.26
2025,CCSC,Letras - Língua Portuguesa e Língua Italiana e Respectivas Literaturas,7,2,7,0,0,1,1,0.0,0.0,14.29,6.25
2025,CCSC,Matemática,13,5,24,0,0,0,0,0.0,0.0,0.0,0.0
2025,CCSC,Medicina,24,13,0,2,0,0,2,8.33,0.0,0.0,5.41
2025,CCSC,Odontologia,21,12,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CCSC,Pedagogia,44,22,4,0,0,0,0,0.0,0.0,0.0,0.0
2025,CCSC, Superior de Tecnologia em Design Educacional,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFOZ,Administração,19,14,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFOZ,Ciência da Computação,22,12,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFOZ,Ciências Contábeis,24,15,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFOZ,Direito,21,13,0,1,0,0,1,4.76,0.0,0.0,2.94
2025,CFOZ,Enfermagem,24,6,6,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFOZ,Engenharia Elétrica,24,8,2,1,0,0,1,4.17,0.0,0.0,2.94
2025,CFOZ,Engenharia Mecânica,17,5,17,0,0,3,3,0.0,0.0,17.65,7.69
2025,CFOZ,Hotelaria,8,3,6,0,1,1,2,0.0,33.33,16.67,11.76
2025,CFOZ,Letras,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFOZ,Letras - Língua Portuguesa e Língua Espanhola e Respectivas Literaturas,10,3,5,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFOZ,Letras - Língua Portuguesa e Língua Inglesa e Respectivas Literaturas,12,7,0,2,1,0,3,16.67,14.29,0.0,15.79
2025,CFOZ,Matemática,13,7,17,1,0,2,3,7.69,0.0,11.76,8.11
2025,CFOZ,Pedagogia,23,13,0,1,0,0,1,4.35,0.0,0.0,2.78
2025,CFOZ,Turismo,18,11,8,0,0,2,2,0.0,0.0,25.0,5.41
2025,CFB,Administração,22,13,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFB,Ciências Econômicas,21,12,19,1,0,0,1,4.76,0.0,0.0,1.92
2025,CFB,Direito,20,12,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFB,Geografia,6,4,21,0,0,2,2,0.0,0.0,9.52,6.45
2025,CFB,Medicina,22,13,0,0,2,0,2,0.0,15.38,0.0,5.71
2025,CFB,Nutrição,15,2,14,0,0,0,0,0.0,0.0,0.0,0.0
2025,CFB,Pedagogia,35,15,19,0,1,0,1,0.0,6.67,0.0,1.45
2025,CFB,Serviço Social,15,5,30,0,0,1,1,0.0,0.0,3.33,2.0
2025,CMCR,Administração,24,13,0,1,0,0,1,4.17,0.0,0.0,2.7
2025,CMCR,Agronomia,16,14,0,1,1,0,2,6.25,7.14,0.0,6.67
2025,CMCR,Ciências Contábeis,27,13,0,0,0,0,0,0.0,0.0,0.0,0.0
2025,CMCR,Direito,22,13,0,2,0,0,2,9.09,0.0,0.0,5.71
2025,CMCR,Educação Física,42,19,3,1,0,0,1,2.38,0.0,0.0,1.56
2025,CMCR,História,8,3,13,1,0,0,1,12.5,0.0,0.0,4.17
2025,CMCR,Letras - Língua Portuguesa e Respectivas Literaturas e Língua Espanhola,6,0,13,0,0,0,0,0.0,0.0,0.0,0.0
